date,weekday,is_holiday
2023-01-01,6,1
2023-01-02,0,0
2023-01-03,1,0
2023-01-04,2,0
2023-01-05,3,0
2023-01-06,4,0
2023-01-07,5,0
2023-01-08,6,0
2023-01-09,0,0
2023-01-10,1,0
2023-01-11,2,0
2023-01-12,3,0
2023-01-13,4,0
2023-01-14,5,0
2023-01-15,6,0
2023-01-16,0,0
2023-01-17,1,0
2023-01-18,2,0
2023-01-19,3,0
2023-01-20,4,0
2023-01-21,5,1
2023-01-22,6,1
2023-01-23,0,1
2023-01-24,1,1
2023-01-25,2,0
2023-01-26,3,0
2023-01-27,4,0
2023-01-28,5,0
2023-01-29,6,0
2023-01-30,0,0
2023-01-31,1,0
2023-02-01,2,0
2023-02-02,3,0
2023-02-03,4,0
2023-02-04,5,0
2023-02-05,6,0
2023-02-06,0,0
2023-02-07,1,0
2023-02-08,2,0
2023-02-09,3,0
2023-02-10,4,0
2023-02-11,5,0
2023-02-12,6,0
2023-02-13,0,0
2023-02-14,1,0
2023-02-15,2,0
2023-02-16,3,0
2023-02-17,4,0
2023-02-18,5,0
2023-02-19,6,0
2023-02-20,0,0
2023-02-21,1,0
2023-02-22,2,0
2023-02-23,3,0
2023-02-24,4,0
2023-02-25,5,0
2023-02-26,6,0
2023-02-27,0,0
2023-02-28,1,0
2023-03-01,2,1
2023-03-02,3,0
2023-03-03,4,0
2023-03-04,5,0
2023-03-05,6,0
2023-03-06,0,0
2023-03-07,1,0
2023-03-08,2,0
2023-03-09,3,0
2023-03-10,4,0
2023-03-11,5,0
2023-03-12,6,0
2023-03-13,0,0
2023-03-14,1,0
2023-03-15,2,0
2023-03-16,3,0
2023-03-17,4,0
2023-03-18,5,0
2023-03-19,6,0
2023-03-20,0,0
2023-03-21,1,0
2023-03-22,2,0
2023-03-23,3,0
2023-03-24,4,0
2023-03-25,5,0
2023-03-26,6,0
2023-03-27,0,0
2023-03-28,1,0
2023-03-29,2,0
2023-03-30,3,0
2023-03-31,4,0
2023-04-01,5,0
2023-04-02,6,0
2023-04-03,0,0
2023-04-04,1,0
2023-04-05,2,0
2023-04-06,3,0
2023-04-07,4,0
2023-04-08,5,0
2023-04-09,6,0
2023-04-10,0,0
2023-04-11,1,0
2023-04-12,2,0
2023-04-13,3,0
2023-04-14,4,0
2023-04-15,5,0
2023-04-16,6,0
2023-04-17,0,0
2023-04-18,1,0
2023-04-19,2,0
2023-04-20,3,0
2023-04-21,4,0
2023-04-22,5,0
2023-04-23,6,0
2023-04-24,0,0
2023-04-25,1,0
2023-04-26,2,0
2023-04-27,3,0
2023-04-28,4,0
2023-04-29,5,0
2023-04-30,6,0
2023-05-01,0,1
2023-05-02,1,0
2023-05-03,2,0
2023-05-04,3,0
2023-05-05,4,1
2023-05-06,5,0
2023-05-07,6,0
2023-05-08,0,0
2023-05-09,1,0
2023-05-10,2,0
2023-05-11,3,0
2023-05-12,4,0
2023-05-13,5,0
2023-05-14,6,0
2023-05-15,0,0
2023-05-16,1,0
2023-05-17,2,0
2023-05-18,3,0
2023-05-19,4,0
2023-05-20,5,0
2023-05-21,6,0
2023-05-22,0,0
2023-05-23,1,0
2023-05-24,2,0
2023-05-25,3,0
2023-05-26,4,0
2023-05-27,5,1
2023-05-28,6,0
2023-05-29,0,0
2023-05-30,1,0
2023-05-31,2,0
2023-06-01,3,0
2023-06-02,4,0
2023-06-03,5,0
2023-06-04,6,0
2023-06-05,0,0
2023-06-06,1,1
2023-06-07,2,0
2023-06-08,3,0
2023-06-09,4,0
2023-06-10,5,0
2023-06-11,6,0
2023-06-12,0,0
2023-06-13,1,0
2023-06-14,2,0
2023-06-15,3,0
2023-06-16,4,0
2023-06-17,5,0
2023-06-18,6,0
2023-06-19,0,0
2023-06-20,1,0
2023-06-21,2,0
2023-06-22,3,0
2023-06-23,4,0
2023-06-24,5,0
2023-06-25,6,0
2023-06-26,0,0
2023-06-27,1,0
2023-06-28,2,0
2023-06-29,3,0
2023-06-30,4,0
2023-07-01,5,0
2023-07-02,6,0
2023-07-03,0,0
2023-07-04,1,0
2023-07-05,2,0
2023-07-06,3,0
2023-07-07,4,0
2023-07-08,5,0
2023-07-09,6,0
2023-07-10,0,0
2023-07-11,1,0
2023-07-12,2,0
2023-07-13,3,0
2023-07-14,4,0
2023-07-15,5,0
2023-07-16,6,0
2023-07-17,0,0
2023-07-18,1,0
2023-07-19,2,0
2023-07-20,3,0
2023-07-21,4,0
2023-07-22,5,0
2023-07-23,6,0
2023-07-24,0,0
2023-07-25,1,0
2023-07-26,2,0
2023-07-27,3,0
2023-07-28,4,0
2023-07-29,5,0
2023-07-30,6,0
2023-07-31,0,0
2023-08-01,1,0
2023-08-02,2,0
2023-08-03,3,0
2023-08-04,4,0
2023-08-05,5,0
2023-08-06,6,0
2023-08-07,0,0
2023-08-08,1,0
2023-08-09,2,0
2023-08-10,3,0
2023-08-11,4,0
2023-08-12,5,0
2023-08-13,6,0
2023-08-14,0,0
2023-08-15,1,1
2023-08-16,2,0
2023-08-17,3,0
2023-08-18,4,0
2023-08-19,5,0
2023-08-20,6,0
2023-08-21,0,0
2023-08-22,1,0
2023-08-23,2,0
2023-08-24,3,0
2023-08-25,4,0
2023-08-26,5,0
2023-08-27,6,0
2023-08-28,0,0
2023-08-29,1,0
2023-08-30,2,0
2023-08-31,3,0
2023-09-01,4,0
2023-09-02,5,0
2023-09-03,6,0
2023-09-04,0,0
2023-09-05,1,0
2023-09-06,2,0
2023-09-07,3,0
2023-09-08,4,0
2023-09-09,5,0
2023-09-10,6,0
2023-09-11,0,0
2023-09-12,1,0
2023-09-13,2,0
2023-09-14,3,0
2023-09-15,4,0
2023-09-16,5,0
2023-09-17,6,0
2023-09-18,0,0
2023-09-19,1,0
2023-09-20,2,0
2023-09-21,3,0
2023-09-22,4,0
2023-09-23,5,0
2023-09-24,6,0
2023-09-25,0,0
2023-09-26,1,0
2023-09-27,2,0
2023-09-28,3,1
2023-09-29,4,1
2023-09-30,5,1
2023-10-01,6,0
2023-10-02,0,0
2023-10-03,1,1
2023-10-04,2,0
2023-10-05,3,0
2023-10-06,4,0
2023-10-07,5,0
2023-10-08,6,0
2023-10-09,0,1
2023-10-10,1,0
2023-10-11,2,0
2023-10-12,3,0
2023-10-13,4,0
2023-10-14,5,0
2023-10-15,6,0
2023-10-16,0,0
2023-10-17,1,0
2023-10-18,2,0
2023-10-19,3,0
2023-10-20,4,0
2023-10-21,5,0
2023-10-22,6,0
2023-10-23,0,0
2023-10-24,1,0
2023-10-25,2,0
2023-10-26,3,0
2023-10-27,4,0
2023-10-28,5,0
2023-10-29,6,0
2023-10-30,0,0
2023-10-31,1,0
2023-11-01,2,0
2023-11-02,3,0
2023-11-03,4,0
2023-11-04,5,0
2023-11-05,6,0
2023-11-06,0,0
2023-11-07,1,0
2023-11-08,2,0
2023-11-09,3,0
2023-11-10,4,0
2023-11-11,5,0
2023-11-12,6,0
2023-11-13,0,0
2023-11-14,1,0
2023-11-15,2,0
2023-11-16,3,0
2023-11-17,4,0
2023-11-18,5,0
2023-11-19,6,0
2023-11-20,0,0
2023-11-21,1,0
2023-11-22,2,0
2023-11-23,3,0
2023-11-24,4,0
2023-11-25,5,0
2023-11-26,6,0
2023-11-27,0,0
2023-11-28,1,0
2023-11-29,2,0
2023-11-30,3,0
2023-12-01,4,0
2023-12-02,5,0
2023-12-03,6,0
2023-12-04,0,0
2023-12-05,1,0
2023-12-06,2,0
2023-12-07,3,0
2023-12-08,4,0
2023-12-09,5,0
2023-12-10,6,0
2023-12-11,0,0
2023-12-12,1,0
2023-12-13,2,0
2023-12-14,3,0
2023-12-15,4,0
2023-12-16,5,0
2023-12-17,6,0
2023-12-18,0,0
2023-12-19,1,0
2023-12-20,2,0
2023-12-21,3,0
2023-12-22,4,0
2023-12-23,5,0
2023-12-24,6,0
2023-12-25,0,1
2023-12-26,1,0
2023-12-27,2,0
2023-12-28,3,0
2023-12-29,4,0
2023-12-30,5,0
2023-12-31,6,0
